benchmark,problem size,block size,partition mode,kernel iteration,input conversion,kernel execution,output conversion,total time,kernel speedup,total speedup,RMSE%,error rate,error percentage,SSIM,PNSR
sobel_2d,8192,2048,cgt_s,100,1114.12,689.816,1938.18,3742.12,1.78802,0.681389,0.151417,0.0519002,0.192271,0.989593,48.5241,
sobel_2d,8192,2048,cg_s,100,883.297,653.478,1997.91,3534.69,1.89924,0.7235,0.0487127,0.00133767,0.00104108,0.998948,58.3747,
sobel_2d,8192,2048,gt_s,100,1357.55,979.906,1882.79,4220.25,1.3228,0.618676,0.197995,0.0839639,0.307825,0.981612,46.1945,
sobel_2d,8192,2048,ct_s,100,1045.66,1073.66,1837.81,3957.13,1.14192,0.642409,0.197995,0.0839639,0.307825,0.981612,46.1945,
sobel_2d,8192,2048,cgt_b,100,412.07,510.47,1975.62,2898.16,2.42077,0.880557,0.141059,0.0409449,0.153908,0.99086,49.1395,
sobel_2d,8192,2048,cg_b,100,410.224,582.085,2017.38,3009.68,2.13024,0.849619,0.0487127,0.00133767,0.00104097,0.998948,58.3747,
sobel_2d,8192,2048,gt_b,100,410.51,847.376,1925.4,3183.29,1.46506,0.80346,0.185389,0.0733526,0.272665,0.984041,46.7659,
sobel_2d,8192,2048,ct_b,100,411.654,621.5,1906.5,2939.66,1.98749,0.867874,0.157094,0.0530404,0.198294,0.9886,48.2044,
mean_2d,1024,512,cpu,100,1.34842,9.62959,21.1235,32.1015,0.998011,1.07547,0,0,0,1,inf,
mean_2d,1024,512,gpu,100,140.819,44.2761,32.6815,217.777,0.215347,0.153075,0,0,0,1,inf,
mean_2d,1024,512,cgt_s,100,151.292,33.4465,41.1057,225.845,0.271879,0.150948,0.0172258,0.00246525,0.202204,0.998888,62.0983,
mean_2d,1024,512,cg_s,100,158.272,41.5917,42.9289,242.793,0.21929,0.140573,0.00140623,5.17498e-05,0.00277042,0.999992,83.8608,
mean_2d,1024,512,gt_s,100,161.164,41.11,34.4084,236.683,0.212161,0.137453,0.0220732,0.00462302,0.398518,0.998215,59.9446,
mean_2d,1024,512,ct_s,100,22.1548,12.176,28.3577,62.6885,0.706733,0.536658,0.0220732,0.00462302,0.398518,0.998215,59.9446,
mean_2d,1024,512,cgt_b,100,5.63182,36.6163,34.8712,77.1193,0.245201,0.441105,0.0172258,0.00246525,0.202204,0.998888,62.0983,
mean_2d,1024,512,cg_b,100,5.69037,35.1009,41.4015,82.1927,0.264612,0.416511,0.0172258,0.00246525,0.202204,0.998888,62.0983,
mean_2d,1024,512,gt_b,100,5.60719,35.1128,29.0787,69.7987,0.256551,0.485069,0.0279639,0.00703652,0.597951,0.997181,57.8899,
